Nama Budaya,Jenis,Deskripsi,Daerah Asal,Rating,Provinsi
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,3.5,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.1,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.2,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.6,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.9,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.4,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.8,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.5,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.2,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.8,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.2,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.7,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,3.9,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.2,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.7,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.7,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.1,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,3.7,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.8,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.6,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.6,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.7,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.5,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.9,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.5,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.1,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.6,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.4,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.6,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.7,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,5,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,5,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.9,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.9,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.6,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,5,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.8,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.6,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.5,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.2,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.6,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.1,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.2,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.3,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.8,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.6,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.9,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.5,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.6,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.3,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,3.6,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.8,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.2,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.6,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.1,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.7,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.7,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.4,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.4,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.8,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.9,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.4,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,3.7,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.7,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.6,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.3,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.6,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.5,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.9,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.8,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.8,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.8,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.2,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.9,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.8,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,5,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.1,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,3.8,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.8,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.5,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.6,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.9,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.2,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.9,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.5,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.6,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.5,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.3,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.7,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,3.8,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.5,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.4,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.9,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.5,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.6,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.9,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.2,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.9,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.7,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.8,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.8,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.9,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.2,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.2,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.4,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.3,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.9,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.5,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.6,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.9,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.2,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.9,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.7,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.9,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.6,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.6,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,3.7,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.8,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.7,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.3,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.2,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.9,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.8,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.9,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.3,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.3,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.1,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.3,Jawa Tengah
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.5,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,3.6,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,3.5,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.6,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,3.8,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,3.6,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,3.6,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.5,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,3.9,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.6,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.5,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.2,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.9,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.2,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.6,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,3.7,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.3,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,3.5,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.2,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.6,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.3,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.5,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.1,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.1,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.5,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,3.9,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.2,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.3,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.6,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.8,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.2,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,3.9,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.2,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,3.7,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,5,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,3.9,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,3.8,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,3.8,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.3,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.1,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.3,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.8,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,3.7,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,3.9,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,3.9,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,3.7,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,3.8,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,3.8,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.3,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.6,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.9,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,3.9,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.2,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.9,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.8,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.8,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,3.8,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,3.6,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.6,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.4,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.3,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,3.7,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.6,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,3.8,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,3.6,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.7,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,3.6,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.2,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.5,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.3,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.7,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.9,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.7,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.4,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.9,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,3.7,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.3,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,3.5,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,3.8,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,3.6,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.9,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.1,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,3.7,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,3.8,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.3,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.7,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,4.9,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,5,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.5,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.5,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4,Jawa Barat
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,3.6,Jawa Barat
Wayang Golek,Kesenian,Pertunjukan wayang kayu khas Sunda dengan cerita epik.,Bandung,4.1,Jawa Barat
Jaipong,Tari,Tarian energik khas Jawa Barat dengan musik kendang.,Karawang,3.6,Jawa Barat
Batik Garut,Kerajinan,Batik khas Garut dengan motif elegan dan warna lembut.,Garut,4.6,Jawa Barat
Sisingaan,Tradisi,Pertunjukan mengarak boneka singa di atas bahu.,Subang,4.1,Jawa Barat
Doclang,Kuliner,Makanan khas Bogor berbasis lontong dengan bumbu kacang.,Bogor,4.7,Jawa Barat
Seren Taun,Tradisi,Upacara adat Sunda sebagai ungkapan syukur atas panen.,Kuningan,4.1,Jawa Barat
Combro,Kuliner,Makanan gorengan berbasis singkong dengan isi oncom.,Bandung,4.2,Jawa Barat
