Budaya,Jenis,Deskripsi,Kota,Provinsi,Rating
Wayang Kulit III,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-223.,Surakarta,Jawa Tengah,4.4
Gunungan Baru,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-224.,Yogyakarta,DI Yogyakarta,4.6
Lumpia Semarang Asli,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-225.,Semarang,Jawa Tengah,3.9
Grebeg Sudiro Klasik,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-226.,Solo,Jawa Tengah,3.7
Reog Ponorogo Modern,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-227.,Ponorogo,Jawa Timur,3.8
Tari Remo Tradisi,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-228.,Jombang,Jawa Timur,3.7
Ludruk Versi A,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-229.,Surabaya,Jawa Timur,4.5
Karapan Sapi Versi B,Tradisi,Balap sapi khas Madura. Varian budaya ke-230.,Sumenep,Jawa Timur,4.8
Tari Jaranan Buto I,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-231.,Banyuwangi,Jawa Timur,3.8
Sate Madura II,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-232.,Pamekasan,Jawa Timur,4.2
Rujak Cingur III,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-233.,Surabaya,Jawa Timur,4.6
Batik Madura Baru,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-234.,Bangkalan,Jawa Timur,4.6
Debus Asli,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-235.,Serang,Banten,3.9
Rampak Bedug Klasik,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-236.,Pandeglang,Banten,4.3
Tari Cokek Modern,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-237.,Tangerang,Banten,4.7
Uli Sera Tradisi,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-238.,Lebak,Banten,3.9
Kue Jojorong Versi A,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-239.,Pandeglang,Banten,3.6
Tari Bedhaya Versi B,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-240.,Yogyakarta,DI Yogyakarta,4.7
Wayang Orang I,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-241.,Yogyakarta,DI Yogyakarta,3.7
Batik Jogja II,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-242.,Yogyakarta,DI Yogyakarta,3.7
Gudeg III,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-243.,Yogyakarta,DI Yogyakarta,3.7
Geplak Baru,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-244.,Bantul,DI Yogyakarta,4.9
Tari Kecak Asli,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-245.,Gianyar,Bali,4.6
Tari Barong Klasik,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-246.,Gianyar,Bali,3.6
Ogoh-ogoh Modern,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-247.,Denpasar,Bali,4.5
Subak Tradisi,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-248.,Tabanan,Bali,4.5
Canang Sari Versi A,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-249.,Ubud,Bali,4.6
Tari Legong Versi B,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-250.,Ubud,Bali,4.7
Bebek Betutu I,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-251.,Gianyar,Bali,4.8
Loloh Cemcem II,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-252.,Karangasem,Bali,3.7
Angklung III,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-253.,Bandung,Jawa Barat,4.2
Wayang Golek Baru,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-254.,Bandung,Jawa Barat,4.4
Jaipongan Asli,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-255.,Karawang,Jawa Barat,4
Tari Topeng Cirebon Klasik,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-256.,Cirebon,Jawa Barat,3.8
Seren Taun Modern,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-257.,Kuningan,Jawa Barat,4.1
Sisingaan Tradisi,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-258.,Subang,Jawa Barat,4.3
Comro Versi A,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-259.,Bandung,Jawa Barat,4
Batik Ciamis Versi B,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-260.,Ciamis,Jawa Barat,3.7
Tari Gambyong I,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-261.,Surakarta,Jawa Tengah,4.9
Batik Solo II,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-262.,Solo,Jawa Tengah,4.9
Tari Lengger III,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-263.,Banyumas,Jawa Tengah,4.1
Ebeg Baru,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-264.,Banyumas,Jawa Tengah,4.3
Wayang Kulit Asli,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-265.,Surakarta,Jawa Tengah,4.2
Gunungan Klasik,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-266.,Yogyakarta,DI Yogyakarta,3.8
Lumpia Semarang Modern,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-267.,Semarang,Jawa Tengah,4.1
Grebeg Sudiro Tradisi,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-268.,Solo,Jawa Tengah,4.5
Reog Ponorogo Versi A,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-269.,Ponorogo,Jawa Timur,3.8
Tari Remo Versi B,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-270.,Jombang,Jawa Timur,4
Ludruk I,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-271.,Surabaya,Jawa Timur,4
Karapan Sapi II,Tradisi,Balap sapi khas Madura. Varian budaya ke-272.,Sumenep,Jawa Timur,3.6
Tari Jaranan Buto III,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-273.,Banyuwangi,Jawa Timur,4.2
Sate Madura Baru,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-274.,Pamekasan,Jawa Timur,4.3
Rujak Cingur Asli,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-275.,Surabaya,Jawa Timur,4.4
Batik Madura Klasik,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-276.,Bangkalan,Jawa Timur,4.8
Debus Modern,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-277.,Serang,Banten,3.5
Rampak Bedug Tradisi,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-278.,Pandeglang,Banten,4.7
Tari Cokek Versi A,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-279.,Tangerang,Banten,3.9
Uli Sera Versi B,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-280.,Lebak,Banten,4.8
Kue Jojorong I,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-281.,Pandeglang,Banten,4.3
Tari Bedhaya II,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-282.,Yogyakarta,DI Yogyakarta,4
Wayang Orang III,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-283.,Yogyakarta,DI Yogyakarta,3.6
Batik Jogja Baru,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-284.,Yogyakarta,DI Yogyakarta,4.3
Gudeg Asli,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-285.,Yogyakarta,DI Yogyakarta,4.8
Geplak Klasik,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-286.,Bantul,DI Yogyakarta,3.8
Tari Kecak Modern,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-287.,Gianyar,Bali,3.7
Tari Barong Tradisi,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-288.,Gianyar,Bali,3.6
Ogoh-ogoh Versi A,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-289.,Denpasar,Bali,4.9
Subak Versi B,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-290.,Tabanan,Bali,4.1
Canang Sari I,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-291.,Ubud,Bali,4.9
Tari Legong II,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-292.,Ubud,Bali,3.6
Bebek Betutu III,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-293.,Gianyar,Bali,4
Loloh Cemcem Baru,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-294.,Karangasem,Bali,3.9
Angklung Asli,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-295.,Bandung,Jawa Barat,4.8
Wayang Golek Klasik,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-296.,Bandung,Jawa Barat,3.5
Jaipongan Modern,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-297.,Karawang,Jawa Barat,3.6
Tari Topeng Cirebon Tradisi,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-298.,Cirebon,Jawa Barat,5
Seren Taun Versi A,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-299.,Kuningan,Jawa Barat,4
Sisingaan Versi B,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-300.,Subang,Jawa Barat,3.6
Comro I,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-301.,Bandung,Jawa Barat,4.8
Batik Ciamis II,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-302.,Ciamis,Jawa Barat,4.9
Tari Gambyong III,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-303.,Surakarta,Jawa Tengah,4.9
Batik Solo Baru,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-304.,Solo,Jawa Tengah,3.8
Tari Lengger Asli,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-305.,Banyumas,Jawa Tengah,3.5
Ebeg Klasik,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-306.,Banyumas,Jawa Tengah,4.1
Wayang Kulit Modern,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-307.,Surakarta,Jawa Tengah,4.2
Gunungan Tradisi,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-308.,Yogyakarta,DI Yogyakarta,4.6
Lumpia Semarang Versi A,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-309.,Semarang,Jawa Tengah,4.6
Grebeg Sudiro Versi B,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-310.,Solo,Jawa Tengah,4.6
Reog Ponorogo I,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-311.,Ponorogo,Jawa Timur,4.5
Tari Remo II,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-312.,Jombang,Jawa Timur,4.8
Ludruk III,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-313.,Surabaya,Jawa Timur,3.9
Karapan Sapi Baru,Tradisi,Balap sapi khas Madura. Varian budaya ke-314.,Sumenep,Jawa Timur,3.8
Tari Jaranan Buto Asli,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-315.,Banyuwangi,Jawa Timur,4.8
Sate Madura Klasik,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-316.,Pamekasan,Jawa Timur,4.6
Rujak Cingur Modern,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-317.,Surabaya,Jawa Timur,4
Batik Madura Tradisi,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-318.,Bangkalan,Jawa Timur,4.6
Debus Versi A,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-319.,Serang,Banten,3.8
Rampak Bedug Versi B,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-320.,Pandeglang,Banten,5
Tari Cokek I,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-321.,Tangerang,Banten,4.9
Uli Sera II,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-322.,Lebak,Banten,4.8
Kue Jojorong III,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-323.,Pandeglang,Banten,3.7
Tari Bedhaya Baru,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-324.,Yogyakarta,DI Yogyakarta,4.1
Wayang Orang Asli,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-325.,Yogyakarta,DI Yogyakarta,4.7
Batik Jogja Klasik,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-326.,Yogyakarta,DI Yogyakarta,4.3
Gudeg Modern,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-327.,Yogyakarta,DI Yogyakarta,4.2
Geplak Tradisi,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-328.,Bantul,DI Yogyakarta,3.6
Tari Kecak Versi A,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-329.,Gianyar,Bali,3.9
Tari Barong Versi B,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-330.,Gianyar,Bali,4.9
Ogoh-ogoh I,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-331.,Denpasar,Bali,4.8
Subak II,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-332.,Tabanan,Bali,4.1
Canang Sari III,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-333.,Ubud,Bali,3.7
Tari Legong Baru,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-334.,Ubud,Bali,5
Bebek Betutu Asli,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-335.,Gianyar,Bali,3.7
Loloh Cemcem Klasik,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-336.,Karangasem,Bali,3.6
Angklung Modern,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-337.,Bandung,Jawa Barat,3.5
Wayang Golek Tradisi,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-338.,Bandung,Jawa Barat,3.7
Jaipongan Versi A,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-339.,Karawang,Jawa Barat,4.2
Tari Topeng Cirebon Versi B,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-340.,Cirebon,Jawa Barat,4
Seren Taun I,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-341.,Kuningan,Jawa Barat,3.7
Sisingaan II,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-342.,Subang,Jawa Barat,4.6
Comro III,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-343.,Bandung,Jawa Barat,3.9
Batik Ciamis Baru,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-344.,Ciamis,Jawa Barat,3.9
Tari Gambyong Asli,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-345.,Surakarta,Jawa Tengah,4.6
Batik Solo Klasik,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-346.,Solo,Jawa Tengah,4.9
Tari Lengger Modern,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-347.,Banyumas,Jawa Tengah,4.8
Ebeg Tradisi,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-348.,Banyumas,Jawa Tengah,4.7
Wayang Kulit Versi A,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-349.,Surakarta,Jawa Tengah,4.3
Gunungan Versi B,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-350.,Yogyakarta,DI Yogyakarta,4.9
Lumpia Semarang I,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-351.,Semarang,Jawa Tengah,4.8
Grebeg Sudiro II,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-352.,Solo,Jawa Tengah,4.7
Reog Ponorogo III,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-353.,Ponorogo,Jawa Timur,4.2
Tari Remo Baru,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-354.,Jombang,Jawa Timur,4.3
Ludruk Asli,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-355.,Surabaya,Jawa Timur,4.7
Karapan Sapi Klasik,Tradisi,Balap sapi khas Madura. Varian budaya ke-356.,Sumenep,Jawa Timur,3.5
Tari Jaranan Buto Modern,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-357.,Banyuwangi,Jawa Timur,3.7
Sate Madura Tradisi,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-358.,Pamekasan,Jawa Timur,4.3
Rujak Cingur Versi A,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-359.,Surabaya,Jawa Timur,4.3
Batik Madura Versi B,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-360.,Bangkalan,Jawa Timur,3.5
Debus I,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-361.,Serang,Banten,4.2
Rampak Bedug II,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-362.,Pandeglang,Banten,4.3
Tari Cokek III,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-363.,Tangerang,Banten,4.6
Uli Sera Baru,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-364.,Lebak,Banten,4.8
Kue Jojorong Asli,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-365.,Pandeglang,Banten,3.5
Tari Bedhaya Klasik,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-366.,Yogyakarta,DI Yogyakarta,4
Wayang Orang Modern,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-367.,Yogyakarta,DI Yogyakarta,4.6
Batik Jogja Tradisi,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-368.,Yogyakarta,DI Yogyakarta,3.6
Gudeg Versi A,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-369.,Yogyakarta,DI Yogyakarta,3.9
Geplak Versi B,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-370.,Bantul,DI Yogyakarta,4.7
Tari Kecak I,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-371.,Gianyar,Bali,3.9
Tari Barong II,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-372.,Gianyar,Bali,4.1
Ogoh-ogoh III,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-373.,Denpasar,Bali,3.7
Subak Baru,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-374.,Tabanan,Bali,4.6
Canang Sari Asli,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-375.,Ubud,Bali,4.3
Tari Legong Klasik,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-376.,Ubud,Bali,4.3
Bebek Betutu Modern,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-377.,Gianyar,Bali,3.8
Loloh Cemcem Tradisi,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-378.,Karangasem,Bali,4.7
Angklung Versi A,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-379.,Bandung,Jawa Barat,4.5
Wayang Golek Versi B,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-380.,Bandung,Jawa Barat,4.3
Jaipongan I,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-381.,Karawang,Jawa Barat,3.7
Tari Topeng Cirebon II,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-382.,Cirebon,Jawa Barat,3.8
Seren Taun III,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-383.,Kuningan,Jawa Barat,4.1
Sisingaan Baru,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-384.,Subang,Jawa Barat,3.8
Comro Asli,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-385.,Bandung,Jawa Barat,5
Batik Ciamis Klasik,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-386.,Ciamis,Jawa Barat,4
Tari Gambyong Modern,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-387.,Surakarta,Jawa Tengah,4
Batik Solo Tradisi,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-388.,Solo,Jawa Tengah,4.6
Tari Lengger Versi A,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-389.,Banyumas,Jawa Tengah,3.6
Ebeg Versi B,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-390.,Banyumas,Jawa Tengah,4.8
Wayang Kulit I,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-391.,Surakarta,Jawa Tengah,4.7
Gunungan II,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-392.,Yogyakarta,DI Yogyakarta,3.7
Lumpia Semarang III,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-393.,Semarang,Jawa Tengah,3.5
Grebeg Sudiro Baru,Tradisi,Perayaan Imlek dan Jawa bersatu. Varian budaya ke-394.,Solo,Jawa Tengah,4.2
Reog Ponorogo Asli,Kesenian,Pertunjukan dengan topeng barong besar. Varian budaya ke-395.,Ponorogo,Jawa Timur,3.7
Tari Remo Klasik,Tari,Tari penyambutan tamu kehormatan. Varian budaya ke-396.,Jombang,Jawa Timur,3.8
Ludruk Modern,Kesenian,Teater tradisional berbahasa Jawa Timuran. Varian budaya ke-397.,Surabaya,Jawa Timur,4.5
Karapan Sapi Tradisi,Tradisi,Balap sapi khas Madura. Varian budaya ke-398.,Sumenep,Jawa Timur,4.6
Tari Jaranan Buto Versi A,Tari,Tarian dengan topeng raksasa khas Banyuwangi. Varian budaya ke-399.,Banyuwangi,Jawa Timur,4.1
Sate Madura Versi B,Kuliner,Sate ayam/kambing dengan bumbu kacang. Varian budaya ke-400.,Pamekasan,Jawa Timur,4.1
Rujak Cingur I,Kuliner,Salad tradisional dengan irisan cingur. Varian budaya ke-401.,Surabaya,Jawa Timur,4.1
Batik Madura II,Kerajinan,Batik berwarna cerah dengan motif khas. Varian budaya ke-402.,Bangkalan,Jawa Timur,4.3
Debus III,Tradisi,Pertunjukan kekebalan tubuh ekstrem. Varian budaya ke-403.,Serang,Banten,4.8
Rampak Bedug Baru,Musik,Pertunjukan sinkronisasi bedug besar. Varian budaya ke-404.,Pandeglang,Banten,4.3
Tari Cokek Asli,Tari,Tari pergaulan khas etnis Tionghoa-Banten. Varian budaya ke-405.,Tangerang,Banten,4.4
Uli Sera Klasik,Kuliner,Makanan khas Baduy dari ketan dan kelapa. Varian budaya ke-406.,Lebak,Banten,5
Kue Jojorong Modern,Kuliner,Kue basah manis dari tepung beras dan gula merah. Varian budaya ke-407.,Pandeglang,Banten,3.7
Tari Bedhaya Tradisi,Tari,Tari sakral keraton dengan gerakan lambat. Varian budaya ke-408.,Yogyakarta,DI Yogyakarta,4.3
Wayang Orang Versi A,Kesenian,Pertunjukan wayang yang diperankan oleh manusia. Varian budaya ke-409.,Yogyakarta,DI Yogyakarta,4.9
Batik Jogja Versi B,Kerajinan,Batik khas dengan warna hitam putih dan motif keraton. Varian budaya ke-410.,Yogyakarta,DI Yogyakarta,3.6
Gudeg I,Kuliner,Makanan manis dari nangka muda. Varian budaya ke-411.,Yogyakarta,DI Yogyakarta,3.8
Geplak II,Kuliner,Permen kelapa warna-warni khas Jogja. Varian budaya ke-412.,Bantul,DI Yogyakarta,5
Tari Kecak III,Tari,Tari dengan suara vokal 'cak' tanpa alat musik. Varian budaya ke-413.,Gianyar,Bali,4
Tari Barong Baru,Tari,Tari pertarungan kebaikan dan kejahatan. Varian budaya ke-414.,Gianyar,Bali,5
Ogoh-ogoh Asli,Tradisi,Patung raksasa diarak menjelang Nyepi. Varian budaya ke-415.,Denpasar,Bali,4.4
Subak Klasik,Tradisi,Sistem irigasi tradisional Bali berbasis spiritual. Varian budaya ke-416.,Tabanan,Bali,4
Canang Sari Modern,Tradisi,Persembahan harian masyarakat Hindu Bali. Varian budaya ke-417.,Ubud,Bali,4.7
Tari Legong Tradisi,Tari,Tari klasik dengan gerakan halus dan rumit. Varian budaya ke-418.,Ubud,Bali,4.2
Bebek Betutu Versi A,Kuliner,Bebek berbumbu khas yang dimasak lama. Varian budaya ke-419.,Gianyar,Bali,3.7
Loloh Cemcem Versi B,Kuliner,Minuman herbal dari daun cemcem. Varian budaya ke-420.,Karangasem,Bali,4.8
Angklung I,Musik,Alat musik bambu khas Sunda yang digetarkan. Varian budaya ke-421.,Bandung,Jawa Barat,3.8
Wayang Golek II,Kesenian,Wayang boneka kayu khas Sunda. Varian budaya ke-422.,Bandung,Jawa Barat,3.7
Jaipongan III,Tari,Tari energik dengan irama kendang dan gerakan dinamis. Varian budaya ke-423.,Karawang,Jawa Barat,4.6
Tari Topeng Cirebon Baru,Tari,Tarian topeng dengan karakter khas daerah Cirebon. Varian budaya ke-424.,Cirebon,Jawa Barat,3.8
Seren Taun Asli,Tradisi,Upacara syukur panen masyarakat Sunda. Varian budaya ke-425.,Kuningan,Jawa Barat,4.7
Sisingaan Klasik,Tradisi,Pertunjukan arak-arakan anak menaiki singa mainan. Varian budaya ke-426.,Subang,Jawa Barat,3.9
Comro Modern,Kuliner,Gorengan berbahan singkong isi oncom. Varian budaya ke-427.,Bandung,Jawa Barat,4.2
Batik Ciamis Tradisi,Kerajinan,Batik khas Ciamis dengan motif flora fauna. Varian budaya ke-428.,Ciamis,Jawa Barat,4.8
Tari Gambyong Versi A,Tari,Tari klasik Jawa dengan gerakan lembut. Varian budaya ke-429.,Surakarta,Jawa Tengah,4.6
Batik Solo Versi B,Kerajinan,Batik dengan motif keraton yang klasik. Varian budaya ke-430.,Solo,Jawa Tengah,4.2
Tari Lengger I,Tari,Tari Banyumasan dengan iringan gamelan. Varian budaya ke-431.,Banyumas,Jawa Tengah,4.7
Ebeg II,Kesenian,Kuda lumping khas Banyumas. Varian budaya ke-432.,Banyumas,Jawa Tengah,4.6
Wayang Kulit III,Kesenian,Pertunjukan bayangan dari boneka kulit. Varian budaya ke-433.,Surakarta,Jawa Tengah,3.8
Gunungan Baru,Tradisi,Simbol hasil bumi yang diarak saat Grebeg. Varian budaya ke-434.,Yogyakarta,DI Yogyakarta,4.6
Lumpia Semarang Asli,Kuliner,Lumpia isi rebung khas Semarang. Varian budaya ke-435.,Semarang,Jawa Tengah,4.2
